,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,is_match,ActualPolicyVehicle,ActualPolicyCoverage,PolicyMismatchFlag
7324,Pontiac,1,Friday,Oct,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,more than 7,51 to 65,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
7336,Pontiac,1,Wednesday,Oct,0.5,1,Married,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,7 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
7359,Chevrolet,1,Tuesday,Oct,0.75,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,5 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
7394,Honda,0,Wednesday,Oct,0.75,0,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,4 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
7395,Mazda,1,Wednesday,Nov,0.5,1,Married,1,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.0,1.0,more than 30,more than 30,1,5 years,31 to 35,0,0,0,none,2 to 3 years,1 vehicle,All Perils,True,Sedan,All Perils,0
7408,Honda,1,Saturday,Oct,0.75,1,Married,0,Sedan - Collision,Sedan,less than 20000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
7422,Toyota,0,Monday,Oct,1.0,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,41 to 50,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
7427,Pontiac,1,Thursday,Oct,0.75,0,Single,0,Sedan - Collision,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,7 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
7439,Toyota,1,Tuesday,Oct,0.75,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,15 to 30,15 to 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
7460,Mazda,1,Tuesday,Oct,0.75,0,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
7461,Mazda,1,Wednesday,Oct,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
7465,Honda,1,Monday,Oct,0.75,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
7476,Toyota,1,Tuesday,Nov,0.25,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,41 to 50,0,0,0,none,4 to 8 years,2 vehicles,All Perils,True,Sedan,All Perils,0
7494,Accura,1,Thursday,Oct,0.75,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,more than 7,over 65,0,0,0,none,no change,1 vehicle,All Perils,True,Utility,All Perils,0
7498,Mazda,1,Thursday,Nov,0.25,0,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
7504,Pontiac,1,Friday,Dec,0.0,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,more than 4,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
7521,Pontiac,1,Friday,Nov,0.25,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
7522,Mazda,1,Thursday,Dec,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
7554,Accura,1,Wednesday,Dec,0.5,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,1.0,more than 30,more than 30,1,more than 7,51 to 65,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Utility,All Perils,0
7555,Toyota,1,Tuesday,Nov,0.25,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,7 years,51 to 65,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
7558,Ford,1,Friday,Nov,0.0,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
7567,Pontiac,1,Wednesday,Nov,0.0,0,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
7583,Toyota,1,Wednesday,Nov,0.0,0,Single,0,Sedan - Liability,Sport,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,4 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Liability,False,Sedan,Liability,1
7611,Mazda,0,Wednesday,Nov,0.0,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,41 to 50,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
7618,Honda,0,Wednesday,Nov,0.0,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
7650,VW,1,Thursday,Mar,0.5,1,Single,1,Sedan - All Perils,Sedan,more than 69000,1.0,0.5,1.0,more than 30,more than 30,none,7 years,36 to 40,0,0,0,more than 5,2 to 3 years,1 vehicle,All Perils,True,Sedan,All Perils,0
7659,Accura,0,Wednesday,Nov,0.0,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,more than 7,over 65,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
7665,Chevrolet,1,Wednesday,Nov,0.0,0,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,5 years,31 to 35,0,0,0,1 to 2,4 to 8 years,2 vehicles,Collision,True,Sedan,Collision,0
7696,Accura,1,Monday,Nov,0.75,1,Married,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
7729,Pontiac,1,Thursday,Nov,0.25,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,1,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
7787,Pontiac,0,Friday,Nov,0.25,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,1,7 years,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
7798,Ford,1,Wednesday,Mar,0.0,1,Married,0,Sedan - All Perils,Sedan,40000 to 59000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,6 years,51 to 65,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
7821,Chevrolet,0,Tuesday,Nov,0.5,1,Single,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Utility,All Perils,0
7828,Toyota,1,Wednesday,Nov,0.25,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
7870,Honda,1,Friday,Nov,0.25,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
7871,Toyota,0,Friday,Nov,0.25,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,4 years,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
7872,Pontiac,1,Wednesday,Nov,0.5,1,Single,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,5 years,31 to 35,0,0,0,more than 5,no change,3 to 4,Collision,True,Sedan,Collision,0
7997,Mazda,1,Wednesday,Nov,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,4 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
8007,Toyota,1,Monday,Dec,0.25,1,Married,1,Sedan - Collision,Sedan,30000 to 39000,1.0,0.5,0.6666666666666667,more than 30,more than 30,2 to 4,more than 7,36 to 40,1,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
8058,Accura,1,Wednesday,Dec,0.75,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.5,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,3 to 5,2 to 3 years,1 vehicle,Collision,True,Sedan,Collision,0
8091,Honda,1,Friday,Nov,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,1.0,0.3333333333333333,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
8097,Mazda,1,Monday,Dec,0.5,1,Single,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
8098,Toyota,0,Tuesday,Nov,1.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
8104,Saturn,1,Friday,Dec,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
8112,Pontiac,1,Monday,Jan,0.75,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
8166,Pontiac,1,Tuesday,Jan,0.25,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,more than 7,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
8250,Chevrolet,1,Friday,Dec,0.0,1,Single,0,Sedan - All Perils,Sedan,60000 to 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,6 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
8252,Ford,0,Tuesday,Dec,0.25,1,Single,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,1.0,more than 30,more than 30,1,more than 7,36 to 40,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Utility,All Perils,0
8289,Mazda,1,Monday,Dec,0.25,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
8310,Pontiac,1,Wednesday,Nov,1.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,4 years,36 to 40,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
8313,Pontiac,1,Monday,Nov,0.5,1,Married,1,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.5,1.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,2 to 3 years,1 vehicle,All Perils,True,Sedan,All Perils,0
8334,Toyota,1,Friday,Dec,0.0,1,Married,0,Sedan - Liability,Sport,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,3 to 5,no change,1 vehicle,Liability,False,Sedan,Liability,1
8352,Honda,1,Friday,Dec,0.5,0,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
8362,Toyota,1,Monday,Dec,0.25,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,6 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
8364,Toyota,1,Monday,Aug,0.75,1,Married,1,Sedan - Collision,Sedan,20000 to 29000,1.0,0.5,0.6666666666666667,more than 30,more than 30,1,7 years,36 to 40,0,0,0,none,2 to 3 years,3 to 4,Collision,True,Sedan,Collision,0
8366,Chevrolet,1,Thursday,Dec,0.5,1,Single,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Utility,All Perils,0
8377,Pontiac,1,Friday,Dec,0.5,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
8453,Toyota,1,Monday,Dec,0.25,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,more than 7,51 to 65,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
8458,Pontiac,1,Wednesday,Dec,0.5,1,Single,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,more than 4,more than 7,51 to 65,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
8465,Pontiac,1,Monday,Dec,0.25,0,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
8486,Honda,1,Monday,Jan,0.5,1,Single,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,3 years,26 to 30,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
8495,Pontiac,0,Monday,Dec,0.5,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,6 years,51 to 65,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
8511,Honda,1,Tuesday,Dec,0.5,1,Married,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
8520,Mazda,1,Wednesday,Dec,0.75,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,more than 4,more than 7,41 to 50,1,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
8521,Mazda,1,Monday,Dec,0.25,0,Married,0,Sedan - Liability,Sport,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,more than 4,7 years,31 to 35,1,0,0,none,no change,1 vehicle,Liability,False,Sedan,Liability,1
8567,Mazda,1,Wednesday,Dec,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
8572,Pontiac,1,Thursday,Dec,0.5,1,Single,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,6 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
8591,Accura,1,Thursday,Feb,0.0,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,7 years,41 to 50,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
8603,Toyota,1,Thursday,Feb,0.25,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,6 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
8604,Pontiac,1,Friday,Jan,0.75,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
8613,Honda,1,Friday,Dec,0.75,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
8629,Chevrolet,1,Wednesday,Dec,0.75,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,more than 4,more than 7,over 65,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
8634,Pontiac,0,Monday,Dec,0.5,1,Married,0,Sedan - Collision,Sedan,less than 20000,1.0,0.25,0.0,more than 30,more than 30,none,more than 7,36 to 40,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
8648,Toyota,1,Saturday,Dec,0.5,1,Married,0,Sedan - Liability,Sport,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,more than 4,more than 7,41 to 50,0,0,0,more than 5,no change,1 vehicle,Liability,False,Sedan,Liability,1
8665,Accura,1,Monday,Dec,0.5,1,Single,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
8679,Pontiac,1,Monday,Dec,0.5,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
8691,Accura,1,Wednesday,Dec,1.0,1,Single,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Utility,All Perils,0
8693,Toyota,1,Monday,Dec,0.5,0,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,5 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
8702,Pontiac,1,Monday,Jan,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
8703,Saab,1,Wednesday,Dec,1.0,1,Single,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
8714,Toyota,1,Tuesday,Dec,0.75,1,Single,0,Sedan - Liability,Sport,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,4 years,26 to 30,0,0,0,3 to 5,no change,1 vehicle,Liability,False,Sedan,Liability,1
8747,Toyota,1,Thursday,Dec,1.0,0,Married,0,Sedan - Collision,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,7 years,36 to 40,1,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
8769,Pontiac,1,Wednesday,Jan,0.25,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
8784,Toyota,1,Thursday,Feb,0.25,1,Married,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,1.0,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
8830,Honda,1,Monday,Feb,0.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
8845,Pontiac,1,Thursday,Dec,1.0,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,5 years,26 to 30,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
8854,Pontiac,1,Tuesday,Jan,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,7 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
8873,Toyota,1,Thursday,Jan,0.0,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,7 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
8875,Honda,1,Friday,Jan,0.0,1,Married,0,Sport - Collision,Sport,more than 69000,1.0,0.25,1.0,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
8877,Pontiac,0,Wednesday,Jan,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,7 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
8959,Toyota,1,Wednesday,Jan,0.25,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,1.0,none,more than 30,1,4 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
8963,Honda,1,Tuesday,Jan,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,4 years,51 to 65,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
9006,Pontiac,0,Wednesday,Jan,0.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,5 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
9037,Honda,1,Monday,Jan,0.0,1,Single,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,5 years,26 to 30,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
9050,Honda,1,Thursday,Feb,0.0,0,Married,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,5 years,31 to 35,1,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
9055,Pontiac,1,Tuesday,Jan,0.0,0,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,more than 7,36 to 40,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
9070,Toyota,1,Tuesday,Jan,0.25,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
9087,Mazda,1,Wednesday,Jan,0.5,0,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
9106,Honda,1,Tuesday,Jan,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,1,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
9110,Toyota,0,Thursday,Jan,0.25,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.0,more than 30,more than 30,none,5 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
9127,Mazda,1,Monday,Jan,0.25,1,Married,0,Sedan - All Perils,Sedan,40000 to 59000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,more than 7,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
9137,Saab,1,Tuesday,Jan,0.25,1,Married,0,Sedan - Collision,Sedan,40000 to 59000,1.0,0.25,0.3333333333333333,more than 30,more than 30,more than 4,more than 7,36 to 40,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
9140,Toyota,1,Friday,Jan,0.25,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,6 years,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
9142,Accura,1,Thursday,Jan,0.5,1,Married,0,Sedan - Collision,Sedan,40000 to 59000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,more than 7,51 to 65,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
9143,Honda,1,Wednesday,Jan,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,more than 7,36 to 40,0,0,0,3 to 5,no change,3 to 4,Collision,True,Sedan,Collision,0
9152,Pontiac,0,Monday,Jan,0.25,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,more than 4,7 years,41 to 50,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
9161,Accura,1,Tuesday,Jan,0.5,1,Single,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
